pattern1
occurrence1
192.33333, 56
192.66667, 61
193, 65
193.33333, 61
193.66667, 56

occurrence3 
200, 44
200, 68
200.33333, 51
200.66667, 56
201, 60
201.33333, 56
201.66667, 51
202, 70
202, 44
202.125, 72
202.25, 70
202.33333, 56
202.5, 68
202.66667, 60
203, 73
203, 66
203.33333, 60
203.5, 75
203.66667, 56
204, 77
204, 49
204.33333, 56
204.66667, 61
205, 65
205.33333, 61
205.66667, 56
206, 80
206, 49
206.33333, 56
206.66667, 65
207, 68
207.33333, 65
207.66667, 56
208, 78
208, 66
208.33333, 63
208.66667, 56
209, 77
209, 65
209.33333, 61
209.66667, 56
210, 75
210, 63
210.33333, 60
210.66667, 56
211, 77
211, 61
211.33333, 56
211.66667, 53
211.75, 73
212, 44
212, 68
212.33333, 51
212.66667, 56
213, 60
213.33333, 56
213.66667, 51

occurrence4 
216, 46
216.33333, 53
216.66667, 58
217, 62
217.33333, 58
217.66667, 53
218, 46
218, 71
218.125, 73
218.25, 71
218.33333, 58
218.5, 70
218.66667, 62
219, 68
219, 75
219.33333, 62
219.5, 77
219.66667, 58
220, 51
220, 78
220.33333, 66
220.66667, 58
221, 53
221, 77
221.33333, 65
221.66667, 57
222, 54
222, 75
222.33333, 63
222.66667, 58
223, 77
223, 56
223.33333, 66
223.66667, 60
224, 49
224, 73
224.33333, 56
224.66667, 61
225, 65
225.33333, 61
225.66667, 56

occurrence5 
248, 68
248, 44
248.33333, 56
248.66667, 60
249, 63
249.33333, 60
249.66667, 56
250, 70
250, 51
250.125, 72
250.25, 70
250.33333, 56
250.5, 68
250.66667, 60
251, 66
251, 73
251.33333, 60
251.5, 75
251.66667, 56
252, 49
252, 77
252.33333, 56
252.66667, 61
253, 65
253.33333, 61
253.66667, 56
254, 80
254, 49
254.33333, 56
254.66667, 65
255, 68
255.33333, 65
255.66667, 56
256, 78
256, 66
256.33334, 63
256.66666, 56
257, 77
257, 65
257.33334, 61
257.66666, 56
258, 63
258, 75
258.33334, 60
258.66666, 56
259, 77
259, 61
259.0625, 75
259.125, 73
259.1875, 75
259.25, 77
259.33334, 56
259.5, 73
259.66666, 53
260, 44
260, 68
260.33334, 51
260.66666, 56
261, 60
261.33334, 56
261.66666, 51

occurrence6 
264, 46
264.33334, 53
264.66666, 58
265, 62
265.33334, 58
265.66666, 53
266, 71
266, 46
266.125, 73
266.25, 71
266.33334, 58
266.5, 70
266.66666, 62
267, 68
267, 75
267.33334, 62
267.5, 77
267.66666, 58
268, 51
268, 78
268.33334, 66
268.66666, 58
269, 53
269, 77
269.33334, 65
269.66666, 57
270, 75
270, 54
270.33334, 63
270.66666, 58
271, 56
271, 77
271.33334, 66
271.66666, 60
272, 49
272, 73
272.33334, 56
272.66666, 61
273, 65
273.33334, 61
273.66666, 56

occurrence7 
296, 68
296, 44
296.33334, 51
296.66666, 56
297, 60
297.33334, 56
297.66666, 51
298, 44
298, 70
298.125, 72
298.25, 70
298.33334, 56
298.5, 68
298.66666, 60
299, 73
299, 66
299.33334, 60
299.5, 75
299.66666, 56
300, 49
300, 77
300.33334, 56
300.66666, 61
301, 65
301.33334, 61
301.66666, 56
302, 49
302, 80
302.33334, 56
302.66666, 65
303, 68
303.33334, 65
303.66666, 56
304, 78
304, 66
304.33334, 63
304.66666, 56
305, 77
305, 65
305.33334, 61
305.66666, 56
306, 75
306, 63
306.33334, 60
306.66666, 56
307, 77
307, 61
307.0625, 75
307.125, 73
307.1875, 75
307.25, 77
307.33334, 56
307.5, 73
307.66666, 53
308, 68
308, 44
308.33334, 51
308.66666, 56
309, 60
309.33334, 56
309.66666, 51

occurrence8 
312, 46
312.33334, 53
312.66666, 58
313, 62
313.33334, 58
313.66666, 53
314, 71
314, 46
314.125, 73
314.25, 71
314.33334, 58
314.5, 70
314.66666, 62
315, 68
315, 75
315.33334, 62
315.5, 77
315.66666, 58
316, 51
316, 78
316.33334, 66
316.66666, 58
317, 77
317, 53
317.33334, 65
317.66666, 57
318, 75
318, 54
318.33334, 63
318.66666, 58
319, 77
319, 56
319.33334, 66
319.66666, 60
320, 73
320, 49
320.33334, 56
320.66666, 61
321, 65
321.33334, 61
321.66666, 56

occurrence9 
504, 44
508, 46
509, 44
510, 49
511, 51
512, 53
516, 56
520, 54
522, 53
524, 51
526, 53
527, 49
528, 44


