(153/2 69 65 1/2 0)
(77 52 55 1 1)
(77 59 59 1 1)
(77 62 61 1 0)
(77 68 64 1/2 0)
(155/2 66 63 1/2 0)
(78 33 44 1 1)
(78 64 62 1/2 0)
(157/2 69 65 1/2 0)
(79 45 51 1 1)
(79 52 55 1 1)
(79 57 58 1 1)
(79 61 60 1 0)
(79 69 65 1/3 0)
(238/3 71 66 1/3 0)
(239/3 69 65 1/3 0)
(80 45 51 1 1)
(80 52 55 1 1)
(80 57 58 1 1)
(80 61 60 1 0)
(80 68 64 1/2 0)
(161/2 66 63 1/2 0)
(81 40 48 1 1)
(81 68 64 2 0)
(82 52 55 1 1)
(82 59 59 1 0)
(82 64 62 1 0)
(83 52 55 2 1)
(83 59 59 1 1)
(83 62 61 1 0)
(83 64 62 1 0)
(84 45 51 1 1)
(84 64 62 1/2 0)
(169/2 68 64 1/2 0)
(85 52 55 1 1)
(85 57 58 1 1)
(85 61 60 1 0)
(85 69 65 1/2 0)
(171/2 71 66 1/2 0)
(86 45 51 1 1)
(86 52 55 1 1)
(86 57 58 1 1)
(86 61 60 1 0)
(86 73 67 1/2 0)
(173/2 74 68 1/2 0)
(87 38 47 1 1)
(87 73 67 1 0)
(88 54 56 1 1)
(88 59 59 1 1)
(88 62 61 1 0)
(88 71 66 1/2 0)
(177/2 69 65 1/2 0)
(89 47 52 1 1)
(89 54 56 1 1)
(89 59 59 1 1)
(89 62 61 1 0)
(89 68 64 1/2 0)
(179/2 66 63 1/2 0)
(90 40 48 1 1)
(90 64 62 1/2 0)
(181/2 68 64 1/2 0)
(91 52 55 1 1)
(91 59 59 1 1)
(91 62 61 1 0)
(91 68 64 1/3 0)
(274/3 69 65 1/3 0)
(275/3 68 64 1/3 0)
(92 52 55 1 1)
(92 59 59 1 1)
(92 62 61 1 0)
(92 66 63 1/2 0)
(185/2 64 62 1/2 0)
(93 33 44 1 1)
(93 69 65 7/2 0)
(94 57 58 1 1)
(94 61 60 1 0)
(94 64 62 1 1)
(95 57 58 1 1)
(95 61 60 1 0)
(95 64 62 1 1)
(95 67 64 1 0)
(96 50 54 1 1)
(96 66 63 1 0)
(193/2 73 67 1/2 0)
(97 50 54 1 1)
(97 57 58 1 1)
(97 62 61 1 1)
(97 66 63 1 0)
(97 74 68 1/2 0)
(195/2 76 69 1/2 0)
(98 50 54 1 1)
(98 57 58 1 1)
(98 62 61 1 1)
(98 66 63 1 0)
(98 78 70 1/2 0)
(197/2 79 71 1/2 0)
(99 45 51 1 1)
(99 78 70 1 0)
(100 52 55 1 1)
(100 57 58 1 1)
(100 61 60 1 1)
(100 67 64 1 0)
(100 76 69 1/2 0)
(201/2 74 68 1/2 0)
(101 52 55 1 1)
(101 57 58 1 1)
(101 61 60 1 1)
(101 67 64 1 0)
(101 73 67 1/2 0)
(203/2 71 66 1/2 0)
(102 38 47 1 1)
(102 69 65 1/2 0)
(205/2 74 68 1/2 0)
(103 50 54 1 1)
(103 57 58 1 1)
(103 62 61 1 1)
(103 66 63 1 0)
(103 74 68 1/3 0)
(310/3 76 69 1/3 0)
(311/3 74 68 1/3 0)
(104 50 54 1 1)
(104 57 58 1 1)
(104 62 61 1 1)
(104 66 63 1 0)
(104 73 67 1/2 0)
(209/2 71 66 1/2 0)
(105 45 51 1 1)
(105 73 67 2 0)
(106 57 58 1 1)
(106 64 62 1 0)
(106 69 65 1 0)
(107 57 58 1 1)
(107 64 62 1 1)
(107 67 64 1 0)
(107 69 65 1 0)
(108 50 54 1 1)
(108 69 65 1/2 0)
(217/2 73 67 1/2 0)
(109 57 58 1 1)
(109 62 61 1 1)
(109 66 63 1 0)
(109 74 68 1/2 0)
(219/2 76 69 1/2 0)
(110 50 54 1 1)
(110 57 58 1 1)
(110 62 61 1 1)
(110 66 63 1 0)
(110 78 70 1/2 0)
(221/2 79 71 1/2 0)
(111 43 50 1 1)
(111 78 70 1 0)
(112 59 59 1 1)
(112 64 62 1 1)
(112 67 64 1 0)
(112 76 69 1/2 0)
(225/2 74 68 1/2 0)
(113 52 55 1 1)
(113 59 59 1 1)
(113 64 62 1 1)
(113 67 64 1 0)
(113 73 67 1/2 0)
(227/2 71 66 1/2 0)
(114 45 51 1 1)
(114 69 65 1/2 0)
(229/2 73 67 1/2 0)
(115 57 58 1 1)
(115 64 62 1 1)
(115 67 64 1 0)
(115 73 67 1/3 0)
(346/3 74 68 1/3 0)
(347/3 73 67 1/3 0)
(116 57 58 1 1)
(116 64 62 1 1)
(116 67 64 1 0)
(116 71 66 1/2 0)
(233/2 69 65 1/2 0)
(117 38 47 1 1)
(117 74 68 3 0)
(118 50 54 1 1)
(118 57 58 1 1)
(118 62 61 1 1)
(118 66 63 1 0)
(119 50 54 2 1)
(119 57 58 2 1)
(119 62 61 2 1)
(119 66 63 2 0)
(120 69 65 1/2 0)
(241/2 73 67 1/2 0)
(121 50 54 1 1)
(121 57 58 1 1)
(121 62 61 1 1)
(121 66 63 1 0)
(121 74 68 1/2 0)
(243/2 76 69 1/2 0)
(122 50 54 1 1)
(122 57 58 1 1)
(122 62 61 1 1)
(122 66 63 1 0)
(122 78 70 1/2 0)
(245/2 79 71 1/2 0)
(123 45 51 1 1)
(123 78 70 1 0)
(124 52 55 1 1)
(124 57 58 1 1)
(124 61 60 1 1)
(124 67 64 1 0)
(124 76 69 1/2 0)
(249/2 74 68 1/2 0)
(125 52 55 1 1)
(125 57 58 1 1)
(125 61 60 1 1)
(125 67 64 1 0)
(125 73 67 1/2 0)
(251/2 71 66 1/2 0)
(126 38 47 1 1)
(126 69 65 1/2 0)
(253/2 74 68 1/2 0)
(127 50 54 1 1)
(127 57 58 1 1)
(127 62 61 1 1)
(127 66 63 1 0)
(127 74 68 1/3 0)
(382/3 76 69 1/3 0)
(383/3 74 68 1/3 0)
(128 50 54 1 1)
(128 57 58 1 1)
(128 62 61 1 1)
(128 66 63 1 0)
(128 73 67 1/2 0)
(257/2 71 66 1/2 0)
(129 45 51 1 1)
(129 73 67 2 0)
(130 57 58 1 1)
(130 61 60 1 1)
(130 64 62 1 0)
(130 69 65 1 0)
(131 57 58 2 1)
(131 64 62 1 1)
(131 67 64 1 0)
(131 69 65 1 0)
(132 50 54 1 1)
(132 69 65 1/2 0)
(265/2 73 67 1/2 0)
(133 57 58 1 1)
(133 62 61 1 1)
(133 66 63 1 0)
(133 74 68 1/2 0)
(267/2 76 69 1/2 0)
(134 50 54 1 1)
(134 57 58 1 1)
(134 62 61 1 1)
(134 66 63 1 0)
(134 78 70 1/2 0)
(269/2 79 71 1/2 0)
(135 43 50 1 1)
(135 78 70 1 0)
(136 59 59 1 1)
(136 64 62 1 1)
(136 67 64 1 0)
(136 76 69 1/2 0)
(273/2 74 68 1/2 0)
(137 52 55 1 1)
(137 59 59 1 1)
(137 64 62 1 1)
(137 67 64 1 0)
(137 73 67 1/2 0)
